Day of Year	Last Updated	Year of Period End	Period Begin	Period End	Median Sale Price Yoy (tooltip)	Median Sale Price Yoy	Median Sale Price
2	8/24/2022 2:27:17 PM	2022	12/6/2021	1/2/2022	14.32%	0.143205858	351,250
3	8/24/2022 2:27:17 PM	2021	12/7/2020	1/3/2021	13.16%	0.131616689	307,250
5	8/24/2022 2:27:17 PM	2020	12/9/2019	1/5/2020	6.22%	0.062158240	271,514.2
6	8/24/2022 2:27:17 PM	2019	12/10/2018	1/6/2019	2.58%	0.025806379	255,625
9	8/24/2022 2:27:17 PM	2022	12/13/2021	1/9/2022	14.53%	0.145314890	351,898
10	8/24/2022 2:27:17 PM	2021	12/14/2020	1/10/2021	13.68%	0.136844645	307,250
12	8/24/2022 2:27:17 PM	2020	12/16/2019	1/12/2020	6.26%	0.062625842	270,265.6
13	8/24/2022 2:27:17 PM	2019	12/17/2018	1/13/2019	2.58%	0.025785237	254,337.5
16	8/24/2022 2:27:17 PM	2022	12/20/2021	1/16/2022	14.36%	0.143572768	350,648
17	8/24/2022 2:27:17 PM	2021	12/21/2020	1/17/2021	13.98%	0.139814381	306,625
19	8/24/2022 2:27:17 PM	2020	12/23/2019	1/19/2020	6.03%	0.060306843	269,013.1
20	8/24/2022 2:27:17 PM	2019	12/24/2018	1/20/2019	2.74%	0.027408216	253,712.5
23	8/24/2022 2:27:17 PM	2022	12/27/2021	1/23/2022	14.71%	0.147130340	350,148
24	8/24/2022 2:27:17 PM	2021	12/28/2020	1/24/2021	14.12%	0.141208356	305,238.2
26	8/24/2022 2:27:17 PM	2020	12/30/2019	1/26/2020	6.05%	0.060491847	267,469.3
27	8/24/2022 2:27:17 PM	2019	12/31/2018	1/27/2019	2.89%	0.028913819	252,212.5
30	8/24/2022 2:27:17 PM	2022	1/3/2022	1/30/2022	14.52%	0.145183636	348,981.2
31	8/24/2022 2:27:17 PM	2021	1/4/2021	1/31/2021	14.24%	0.142421953	304,738.2
33	8/24/2022 2:27:17 PM	2020	1/6/2020	2/2/2020	6.21%	0.062131386	266,747.5
34	8/24/2022 2:27:17 PM	2019	1/7/2019	2/3/2019	2.93%	0.029277049	251,143.6
37	8/24/2022 2:27:17 PM	2022	1/10/2022	2/6/2022	14.63%	0.146348752	348,333.2
38	8/24/2022 2:27:17 PM	2021	1/11/2021	2/7/2021	14.07%	0.140745385	303,863.2
40	8/24/2022 2:27:17 PM	2020	1/13/2020	2/9/2020	6.74%	0.067395942	266,372.5
41	8/24/2022 2:27:17 PM	2019	1/14/2019	2/10/2019	2.54%	0.025387160	249,553.6
44	8/24/2022 2:27:17 PM	2022	1/17/2022	2/13/2022	14.87%	0.148711475	348,333.2
45	8/24/2022 2:27:17 PM	2021	1/18/2021	2/14/2021	13.84%	0.138388362	303,238.2
47	8/24/2022 2:27:17 PM	2020	1/20/2020	2/16/2020	7.01%	0.070085960	266,375
48	8/24/2022 2:27:17 PM	2019	1/21/2019	2/17/2019	1.97%	0.019676805	248,928.6
51	8/24/2022 2:27:17 PM	2022	1/24/2022	2/20/2022	15.13%	0.151292082	352,583.2
52	8/24/2022 2:27:17 PM	2021	1/25/2021	2/21/2021	14.34%	0.143395839	306,250
54	8/24/2022 2:27:17 PM	2020	1/27/2020	2/23/2020	7.38%	0.073824333	267,842.5
55	8/24/2022 2:27:17 PM	2019	1/28/2019	2/24/2019	1.69%	0.016880150	249,428.6
58	8/24/2022 2:27:17 PM	2022	1/31/2022	2/27/2022	15.79%	0.157894737	357,500
59	8/24/2022 2:27:17 PM	2021	2/1/2021	2/28/2021	14.58%	0.145778248	308,750
61	8/24/2022 2:27:17 PM	2020	2/3/2020	3/1/2020	7.47%	0.074656776	269,467.5
62	8/24/2022 2:27:17 PM	2019	2/4/2019	3/3/2019	1.60%	0.016043723	250,747.5
65	8/24/2022 2:27:17 PM	2022	2/7/2022	3/6/2022	15.81%	0.158146965	362,500
66	8/24/2022 2:27:17 PM	2021	2/8/2021	3/7/2021	15.35%	0.153523683	313,000
68	8/24/2022 2:27:17 PM	2020	2/10/2020	3/8/2020	6.99%	0.069857072	271,342.5
69	8/24/2022 2:27:17 PM	2019	2/11/2019	3/10/2019	2.00%	0.019954308	253,625
72	8/24/2022 2:27:17 PM	2022	2/14/2022	3/13/2022	16.23%	0.162290766	368,155.6
73	8/24/2022 2:27:17 PM	2021	2/15/2021	3/14/2021	16.20%	0.161990884	316,750
75	8/24/2022 2:27:17 PM	2020	2/17/2020	3/15/2020	6.49%	0.064884336	272,592.5
76	8/24/2022 2:27:17 PM	2019	2/18/2019	3/17/2019	2.46%	0.024616424	255,983.2
79	8/24/2022 2:27:17 PM	2022	2/21/2022	3/20/2022	16.28%	0.162841098	370,655.6
80	8/24/2022 2:27:17 PM	2021	2/22/2021	3/21/2021	15.70%	0.156987296	318,750
82	8/24/2022 2:27:17 PM	2020	2/24/2020	3/22/2020	6.69%	0.066865144	275,500
83	8/24/2022 2:27:17 PM	2019	2/25/2019	3/24/2019	2.56%	0.025568806	258,233.2
86	8/24/2022 2:27:17 PM	2022	2/28/2022	3/27/2022	15.94%	0.159397209	373,905.6
87	8/24/2022 2:27:17 PM	2021	3/1/2021	3/28/2021	16.22%	0.162162162	322,500
89	8/24/2022 2:27:17 PM	2020	3/2/2020	3/29/2020	7.05%	0.070464740	277,500
90	8/24/2022 2:27:17 PM	2019	3/4/2019	3/31/2019	2.34%	0.023443407	259,233.2
93	8/24/2022 2:27:17 PM	2022	3/7/2022	4/3/2022	15.90%	0.158982365	376,405.6
94	8/24/2022 2:27:17 PM	2021	3/8/2021	4/4/2021	16.30%	0.163017010	324,772.5
96	8/24/2022 2:27:17 PM	2020	3/9/2020	4/5/2020	7.05%	0.070504972	279,250
97	8/24/2022 2:27:17 PM	2019	3/11/2019	4/7/2019	2.18%	0.021790861	260,858.2
100	8/24/2022 2:27:17 PM	2022	3/14/2022	4/10/2022	15.76%	0.157598053	379,500
101	8/24/2022 2:27:17 PM	2021	3/15/2021	4/11/2021	16.87%	0.168748663	327,834
103	8/24/2022 2:27:17 PM	2020	3/16/2020	4/12/2020	7.06%	0.070610687	280,500
104	8/24/2022 2:27:17 PM	2019	3/18/2019	4/14/2019	1.90%	0.018959650	262,000
107	8/24/2022 2:27:17 PM	2022	3/21/2022	4/17/2022	15.77%	0.157680287	383,000
108	8/24/2022 2:27:17 PM	2021	3/22/2021	4/18/2021	17.73%	0.177345196	330,834
110	8/24/2022 2:27:17 PM	2020	3/23/2020	4/19/2020	6.74%	0.067426401	281,000
111	8/24/2022 2:27:17 PM	2019	3/25/2019	4/21/2019	2.03%	0.020348837	263,250
114	8/24/2022 2:27:17 PM	2022	3/28/2022	4/24/2022	15.42%	0.154247692	384,750
115	8/24/2022 2:27:17 PM	2021	3/29/2021	4/25/2021	19.15%	0.191542449	333,334
117	8/24/2022 2:27:17 PM	2020	3/30/2020	4/26/2020	5.77%	0.057655955	279,750
118	8/24/2022 2:27:17 PM	2019	4/1/2019	4/28/2019	2.47%	0.024697337	264,500
121	8/24/2022 2:27:17 PM	2022	4/4/2022	5/1/2022	15.76%	0.157603014	387,000
122	8/24/2022 2:27:17 PM	2021	4/5/2021	5/2/2021	20.04%	0.200400359	334,311.5
124	8/24/2022 2:27:17 PM	2020	4/6/2020	5/3/2020	4.70%	0.046992481	278,500
125	8/24/2022 2:27:17 PM	2019	4/8/2019	5/5/2019	2.85%	0.028516191	266,000
128	8/24/2022 2:27:17 PM	2022	4/11/2022	5/8/2022	15.84%	0.158364312	389,500
129	8/24/2022 2:27:17 PM	2021	4/12/2021	5/9/2021	21.29%	0.212913698	336,250
131	8/24/2022 2:27:17 PM	2020	4/13/2020	5/10/2020	3.65%	0.036452005	277,225
132	8/24/2022 2:27:17 PM	2019	4/15/2019	5/12/2019	3.42%	0.034219430	267,475
135	8/24/2022 2:27:17 PM	2022	4/18/2022	5/15/2022	15.67%	0.156666667	390,375
136	8/24/2022 2:27:17 PM	2021	4/19/2021	5/16/2021	22.52%	0.225156548	337,500
138	8/24/2022 2:27:17 PM	2020	4/20/2020	5/17/2020	2.27%	0.022739929	275,475
139	8/24/2022 2:27:17 PM	2019	4/22/2019	5/19/2019	3.45%	0.034469515	269,350
142	8/24/2022 2:27:17 PM	2022	4/25/2022	5/22/2022	15.50%	0.154991726	392,625
143	8/24/2022 2:27:17 PM	2021	4/26/2021	5/23/2021	23.40%	0.234004901	339,937.5
145	8/24/2022 2:27:17 PM	2020	4/27/2020	5/24/2020	1.66%	0.016612326	275,475
146	8/24/2022 2:27:17 PM	2019	4/29/2019	5/26/2019	3.58%	0.035838945	270,973.5
149	8/24/2022 2:27:17 PM	2022	5/2/2022	5/29/2022	15.08%	0.150843635	392,875
150	8/24/2022 2:27:17 PM	2021	5/3/2021	5/30/2021	23.60%	0.235988414	341,380
152	8/24/2022 2:27:17 PM	2020	5/4/2020	5/31/2020	1.27%	0.012747343	276,200
153	8/24/2022 2:27:17 PM	2019	5/6/2019	6/2/2019	3.46%	0.034618611	272,723.5
156	8/24/2022 2:27:17 PM	2022	5/9/2022	6/5/2022	14.54%	0.145385018	393,875
157	8/24/2022 2:27:17 PM	2021	5/10/2021	6/6/2021	23.71%	0.237089666	343,880
159	8/24/2022 2:27:17 PM	2020	5/11/2020	6/7/2020	1.27%	0.012664914	277,975
160	8/24/2022 2:27:17 PM	2019	5/13/2019	6/9/2019	3.40%	0.033997418	274,498.5
163	8/24/2022 2:27:17 PM	2022	5/16/2022	6/12/2022	13.83%	0.138282976	394,250
164	8/24/2022 2:27:17 PM	2021	5/17/2021	6/13/2021	23.88%	0.238751788	346,355
166	8/24/2022 2:27:17 PM	2020	5/18/2020	6/14/2020	1.17%	0.011675517	279,600
167	8/24/2022 2:27:17 PM	2019	5/20/2019	6/16/2019	3.52%	0.035209914	276,373.2
170	8/24/2022 2:27:17 PM	2022	5/23/2022	6/19/2022	13.47%	0.134679917	394,775
171	8/24/2022 2:27:17 PM	2021	5/24/2021	6/20/2021	23.06%	0.230586259	347,917.5
173	8/24/2022 2:27:17 PM	2020	5/25/2020	6/21/2020	1.61%	0.016083755	282,725
174	8/24/2022 2:27:17 PM	2019	5/27/2019	6/23/2019	3.50%	0.034962619	278,249.7
177	8/24/2022 2:27:17 PM	2022	5/30/2022	6/26/2022	12.42%	0.124225284	393,731.8
178	8/24/2022 2:27:17 PM	2021	5/31/2021	6/27/2021	22.89%	0.228859649	350,225
180	8/24/2022 2:27:17 PM	2020	6/1/2020	6/28/2020	2.15%	0.021506475	285,000
181	8/24/2022 2:27:17 PM	2019	6/3/2019	6/30/2019	3.54%	0.035441455	278,999.7
184	8/24/2022 2:27:17 PM	2022	6/6/2022	7/3/2022	11.58%	0.115809605	391,481.8
185	8/24/2022 2:27:17 PM	2021	6/7/2021	7/4/2021	21.51%	0.215064935	350,850
187	8/24/2022 2:27:17 PM	2020	6/8/2020	7/5/2020	3.22%	0.032172689	288,750
188	8/24/2022 2:27:17 PM	2019	6/10/2019	7/7/2019	4.06%	0.040638705	279,749.7
191	8/24/2022 2:27:17 PM	2022	6/13/2022	7/10/2022	10.58%	0.105755041	387,981.8
192	8/24/2022 2:27:17 PM	2021	6/14/2021	7/11/2021	20.11%	0.201112537	350,875
194	8/24/2022 2:27:17 PM	2020	6/15/2020	7/12/2020	4.89%	0.048922801	292,125
195	8/24/2022 2:27:17 PM	2019	6/17/2019	7/14/2019	3.80%	0.037993932	278,500
198	8/24/2022 2:27:17 PM	2022	6/20/2022	7/17/2022	9.61%	0.096145351	384,610
199	8/24/2022 2:27:17 PM	2021	6/21/2021	7/18/2021	18.85%	0.188500296	350,875
201	8/24/2022 2:27:17 PM	2020	6/22/2020	7/19/2020	6.39%	0.063873874	295,225
202	8/24/2022 2:27:17 PM	2019	6/24/2019	7/21/2019	3.80%	0.038038985	277,500
205	8/24/2022 2:27:17 PM	2022	6/27/2022	7/24/2022	8.84%	0.088430638	381,903.1
206	8/24/2022 2:27:17 PM	2021	6/28/2021	7/25/2021	17.85%	0.178520447	350,875
208	8/24/2022 2:27:17 PM	2020	6/29/2020	7/26/2020	7.77%	0.077737557	297,725
209	8/24/2022 2:27:17 PM	2019	7/1/2019	7/28/2019	3.91%	0.039096353	276,250
212	8/24/2022 2:27:17 PM	2022	7/4/2022	7/31/2022	7.97%	0.079666238	378,153.1
213	8/24/2022 2:27:17 PM	2021	7/5/2021	8/1/2021	17.35%	0.173465114	350,250
215	8/24/2022 2:27:17 PM	2020	7/6/2020	8/2/2020	8.54%	0.085363636	298,475
216	8/24/2022 2:27:17 PM	2019	7/8/2019	8/4/2019	3.44%	0.034394559	275,000
219	8/24/2022 2:27:17 PM	2022	7/11/2022	8/7/2022	7.61%	0.076097359	376,903.1
220	8/24/2022 2:27:17 PM	2021	7/12/2021	8/8/2021	16.66%	0.166625031	350,250
222	8/24/2022 2:27:17 PM	2020	7/13/2020	8/9/2020	9.37%	0.093715847	300,225
223	8/24/2022 2:27:17 PM	2019	7/15/2019	8/11/2019	3.63%	0.036337895	274,500
226	8/24/2022 2:27:17 PM	2022	7/18/2022	8/14/2022	6.43%	0.064285714	372,500
227	8/24/2022 2:27:17 PM	2021	7/19/2021	8/15/2021	16.09%	0.160862355	350,000
229	8/24/2022 2:27:17 PM	2020	7/20/2020	8/16/2020	10.04%	0.100364964	301,500
230	8/24/2022 2:27:17 PM	2019	7/22/2019	8/18/2019	3.54%	0.035427492	274,000
233	8/24/2022 2:27:17 PM	2022	7/25/2022	8/21/2022	6.04%	0.060357143	371,125
234	8/24/2022 2:27:17 PM	2021	7/26/2021	8/22/2021	15.51%	0.155115512	350,000
236	8/24/2022 2:27:17 PM	2020	7/27/2020	8/23/2020	10.59%	0.105940323	303,000
237	8/24/2022 2:27:17 PM	2019	7/29/2019	8/25/2019	3.88%	0.038767773	273,975
241	8/24/2022 2:27:17 PM	2021	8/2/2021	8/29/2021	14.79%	0.147904684	349,250
243	8/24/2022 2:27:17 PM	2020	8/3/2020	8/30/2020	11.56%	0.115592630	304,250
244	8/24/2022 2:27:17 PM	2019	8/5/2019	9/1/2019	3.90%	0.038952381	272,725
248	8/24/2022 2:27:17 PM	2021	8/9/2021	9/5/2021	14.28%	0.142828525	348,562.7
250	8/24/2022 2:27:17 PM	2020	8/10/2020	9/6/2020	11.94%	0.119368749	305,000
251	8/24/2022 2:27:17 PM	2019	8/12/2019	9/8/2019	4.20%	0.041969407	272,475
255	8/24/2022 2:27:17 PM	2021	8/16/2021	9/12/2021	14.27%	0.142746557	348,537.7
257	8/24/2022 2:27:17 PM	2020	8/17/2020	9/13/2020	12.26%	0.122602967	305,000
258	8/24/2022 2:27:17 PM	2019	8/19/2019	9/15/2019	4.65%	0.046470871	271,690
262	8/24/2022 2:27:17 PM	2021	8/23/2021	9/19/2021	13.40%	0.134000653	347,287.7
264	8/24/2022 2:27:17 PM	2020	8/24/2020	9/20/2020	13.44%	0.134406312	306,250
265	8/24/2022 2:27:17 PM	2019	8/26/2019	9/22/2019	4.59%	0.045869249	269,965
269	8/24/2022 2:27:17 PM	2021	8/30/2021	9/26/2021	13.16%	0.131551673	346,537.7
271	8/24/2022 2:27:17 PM	2020	8/31/2020	9/27/2020	13.55%	0.135457798	306,250
272	8/24/2022 2:27:17 PM	2019	9/2/2019	9/29/2019	5.00%	0.049985401	269,715
276	8/24/2022 2:27:17 PM	2021	9/6/2021	10/3/2021	12.82%	0.128156318	346,696.2
278	8/24/2022 2:27:17 PM	2020	9/7/2020	10/4/2020	14.15%	0.141512174	307,312.2
279	8/24/2022 2:27:17 PM	2019	9/9/2019	10/6/2019	5.16%	0.051621094	269,215
283	8/24/2022 2:27:17 PM	2021	9/13/2021	10/10/2021	12.42%	0.124170144	345,471.2
285	8/24/2022 2:27:17 PM	2020	9/14/2020	10/11/2020	14.14%	0.141363788	307,312.2
286	8/24/2022 2:27:17 PM	2019	9/16/2019	10/13/2019	5.43%	0.054331865	269,250
290	8/24/2022 2:27:17 PM	2021	9/20/2021	10/17/2021	12.82%	0.128237668	346,721.2
292	8/24/2022 2:27:17 PM	2020	9/21/2020	10/18/2020	13.92%	0.139248193	307,312.2
293	8/24/2022 2:27:17 PM	2019	9/23/2019	10/20/2019	5.11%	0.051144666	269,750
297	8/24/2022 2:27:17 PM	2021	9/27/2021	10/24/2021	12.81%	0.128123276	348,096.2
299	8/24/2022 2:27:17 PM	2020	9/28/2020	10/25/2020	14.39%	0.143892714	308,562.2
300	8/24/2022 2:27:17 PM	2019	9/30/2019	10/27/2019	5.11%	0.051134925	269,747.5
304	8/24/2022 2:27:17 PM	2021	10/4/2021	10/31/2021	12.87%	0.128744939	348,500
306	8/24/2022 2:27:17 PM	2020	10/5/2020	11/1/2020	14.46%	0.144588921	308,750
307	8/24/2022 2:27:17 PM	2019	10/7/2019	11/3/2019	4.96%	0.049601167	269,747.5
311	8/24/2022 2:27:17 PM	2021	10/11/2021	11/7/2021	12.90%	0.129032258	350,000
313	8/24/2022 2:27:17 PM	2020	10/12/2020	11/8/2020	14.93%	0.149329403	310,000
314	8/24/2022 2:27:17 PM	2019	10/14/2019	11/10/2019	4.65%	0.046450048	269,722.5
318	8/24/2022 2:27:17 PM	2021	10/18/2021	11/14/2021	12.90%	0.129032258	350,000
320	8/24/2022 2:27:17 PM	2020	10/19/2020	11/15/2020	14.93%	0.149329403	310,000
321	8/24/2022 2:27:17 PM	2019	10/21/2019	11/17/2019	4.65%	0.046450048	269,722.5
325	8/24/2022 2:27:17 PM	2021	10/25/2021	11/21/2021	12.84%	0.128421900	350,375
327	8/24/2022 2:27:17 PM	2020	10/26/2020	11/22/2020	14.70%	0.147026228	310,500
328	8/24/2022 2:27:17 PM	2019	10/28/2019	11/24/2019	5.02%	0.050242483	270,700
332	8/24/2022 2:27:17 PM	2021	11/1/2021	11/28/2021	13.54%	0.135363880	350,500
334	8/24/2022 2:27:17 PM	2020	11/2/2020	11/29/2020	14.62%	0.146209131	308,711.6
335	8/24/2022 2:27:17 PM	2019	11/4/2019	12/1/2019	4.80%	0.047987160	269,332.7
339	8/24/2022 2:27:17 PM	2021	11/8/2021	12/5/2021	13.57%	0.135690074	350,600.7
341	8/24/2022 2:27:17 PM	2020	11/9/2020	12/6/2020	14.08%	0.140808632	308,711.6
342	8/24/2022 2:27:17 PM	2019	11/11/2019	12/8/2019	5.50%	0.055000780	270,607.7
346	8/24/2022 2:27:17 PM	2021	11/15/2021	12/12/2021	13.71%	0.137071305	350,600.7
348	8/24/2022 2:27:17 PM	2020	11/16/2020	12/13/2020	13.52%	0.135233608	308,336.6
349	8/24/2022 2:27:17 PM	2019	11/18/2019	12/15/2019	6.15%	0.061480410	271,606.3
353	8/24/2022 2:27:17 PM	2021	11/22/2021	12/19/2021	14.22%	0.142166656	351,600.7
355	8/24/2022 2:27:17 PM	2020	11/23/2020	12/20/2020	13.12%	0.131206149	307,836.6
356	8/24/2022 2:27:17 PM	2019	11/25/2019	12/22/2019	6.35%	0.063532193	272,131.3
360	8/24/2022 2:27:17 PM	2021	11/29/2021	12/26/2021	13.69%	0.136946483	351,600.7
362	8/24/2022 2:27:17 PM	2020	11/30/2020	12/27/2020	13.21%	0.132090115	309,250
363	8/24/2022 2:27:17 PM	2019	12/2/2019	12/29/2019	6.76%	0.067581045	273,167.3
